,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer,transform,dataset,exp_name
22,91.89,93.94,0.007244332145333667,0.609600160318085,90.116,90.608,0.004194806116130536,0.617031317652034,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",35,219,2,"noise,0.1","cifar10,",noise/0.1
23,91.81,93.94,0.010007615106864065,0.5993196914279009,89.744,90.522,0.006100764532652124,0.6222080958773718,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",46,239,3,"noise,0.1","cifar10,",noise/0.1
24,91.52,93.94,0.007192700482386199,0.6798880507674399,89.934,90.788,0.0040354017296906014,0.6134018952508107,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",10,26,0,"noise,0.1","cifar10,",noise/0.1
25,91.92,93.94,0.00725225134623013,0.6187612146516389,90.074,90.642,0.004135910940863897,0.6220653441251086,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",23,56,1,"noise,0.1","cifar10,",noise/0.1
26,91.51,93.94,0.008079919822608368,0.6435608668606493,89.844,90.572,0.0043755597685037366,0.6302376169225444,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",35,219,2,"noise,0.1","cifar10,",noise/0.1
27,91.89,93.94,0.016132826292062107,0.6486472217719766,89.682,90.666,0.010262610338380575,0.6510505479238832,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",46,239,3,"noise,0.1","cifar10,",noise/0.1
28,91.14,93.94,13.027399558055249,0.7138044898268543,89.722,90.39,12.591105075748375,0.6419030708806289,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",10,26,0,"noise,0.1","cifar10,",noise/0.1
29,91.54,93.94,68.19077619721618,0.6950992917335486,89.76,90.7,46.17369870822448,0.6361845767177889,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",23,56,1,"noise,0.1","cifar10,",noise/0.1
30,70.99,93.94,32960.73316047765,2.688572320757033,75.872,90.59,5486.789672539362,1.8744117805110219,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",35,219,2,"noise,0.1","cifar10,",noise/0.1
31,27.43,93.94,24272.238737432264,4.180791586260252,25.586,90.482,4370.604336741026,4.113367435572397,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",46,239,3,"noise,0.1","cifar10,",noise/0.1
32,91.64,93.94,0.013584433984058567,0.6351525587371633,89.962,90.728,0.007873787555386267,0.6155972109769311,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",10,26,0,"noise,0.1","cifar10,",noise/0.1
33,91.89,93.94,0.014318434615867048,0.6379090729110604,89.718,90.662,0.007455812178818923,0.6441129806172817,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",23,56,1,"noise,0.1","cifar10,",noise/0.1
34,91.34,93.94,0.011169299483299255,0.6546098646483843,89.82,90.52,0.00570756474586056,0.6261758220089061,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",35,219,2,"noise,0.1","cifar10,",noise/0.1
35,91.79,93.94,0.013155518948465963,0.6221228666320632,89.814,90.786,0.008047057281169669,0.6360634435206423,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",46,239,3,"noise,0.1","cifar10,",noise/0.1
36,91.9,93.94,0.007030027894939803,0.6340672003128861,89.922,90.658,0.004022035501239931,0.6267036768176671,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",10,26,0,"noise,0.1","cifar10,",noise/0.1
37,91.76,93.94,0.007351871002229709,0.650978673485261,89.852,90.532,0.004058664558036134,0.625542307448814,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",23,56,1,"noise,0.1","cifar10,",noise/0.1
38,91.51,93.94,0.007517643588229637,0.6368691391205485,90.17,90.704,0.00398535441840663,0.6142381635468329,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",35,219,2,"noise,0.1","cifar10,",noise/0.1
39,91.73,93.94,0.0074345325119793415,0.6640541719720711,89.954,90.59,0.004115979014502843,0.6235726911412633,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",46,239,3,"noise,0.1","cifar10,",noise/0.1
40,77.59,93.94,0.04113586216316193,1.7835210946541797,50.066,49.914,0.007033174544277474,5.175421423924243,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",6,26,0,"noise,0.2","cifar10,",noise/0.2
41,74.02,93.94,0.04762750661259965,2.175769128188302,49.946,50.062,0.007063704463022063,5.172311048068659,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",15,56,1,"noise,0.2","cifar10,",noise/0.2
42,77.49,93.94,0.04291252730579316,1.7965270477005197,49.912,50.074,0.007154852825948192,5.173912593470815,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",26,219,2,"noise,0.2","cifar10,",noise/0.2
43,77.3,93.94,0.049910686768685715,1.8228457758698282,49.93,49.922,0.009748709809673411,5.169877919394647,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",55,239,3,"noise,0.2","cifar10,",noise/0.2
44,76.42,93.94,0.04449379283793365,1.822424110732501,50.03,49.994,0.007078267018194012,5.173035621643066,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",6,26,0,"noise,0.2","cifar10,",noise/0.2
45,76.26,93.94,0.04361397791889649,1.9374569420573078,49.918,50.026,0.007147197224571348,5.197321366166215,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",15,56,1,"noise,0.2","cifar10,",noise/0.2
