,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,batch_size,student,teacher,transform,dataset,exp_name,distillation,last_layer,student_layer,teacher_layer,layer
22,92.1,93.94,12.752083862884135,0.3981585370588906,98.75,99.896,1.1331755373903247,0.03504748406517498,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,att_max,"KD_CE,T-8.0",35,219,2
23,91.97,93.94,13.056555758548688,0.4073580244579647,98.678,99.892,1.2332413761931307,0.03788566331633979,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,att_max,"KD_CE,T-8.0",46,239,3
24,92.06,93.94,12.642680578593966,0.3947332192542432,98.63,99.922,1.2916763295298037,0.04001357904671098,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,att_mean,"KD_CE,T-8.0",10,26,0
25,91.22,93.94,14.287133440186706,0.4461330679021304,98.704,99.896,1.218361818500797,0.03773729263535698,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,att_mean,"KD_CE,T-8.0",23,56,1
26,91.47,93.94,13.416805798494362,0.4187595745242095,98.606,99.908,1.3358119601178962,0.04124417289724702,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,att_mean,"KD_CE,T-8.0",35,219,2
27,91.27,93.94,13.65260342706608,0.42540645523916315,98.644,99.92,1.3421022339397684,0.040688745326141036,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,att_mean,"KD_CE,T-8.0",46,239,3
28,91.29,93.94,28.966382956203027,0.4712745775527592,98.806,99.916,14.136269708423663,0.0348081999920461,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,hint,"KD_CE,T-8.0",10,26,0
29,92.27,93.94,68.43798601174656,0.43806765539736686,99.204,99.906,50.090989729937384,0.02321861667529968,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,hint,"KD_CE,T-8.0",23,56,1
30,66.23,93.94,22397.677728194223,0.9662611673149881,69.046,99.926,15269.908955839894,0.873280720790024,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,hint,"KD_CE,T-8.0",35,219,2
31,43.49,93.94,11141.828869783425,1.566987823836411,41.016,99.906,8200.618551971358,1.6318454074737665,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,hint,"KD_CE,T-8.0",46,239,3
32,91.62,93.94,12.449798655660846,0.3875225718734385,98.414,99.904,1.4863224702570446,0.045170071546721945,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,nst_linear,"KD_CE,T-8.0",10,26,0
33,92.01,93.94,12.330213543734972,0.38424509065815166,98.606,99.914,1.3226121027984887,0.0402782363078707,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,nst_linear,"KD_CE,T-8.0",23,56,1
34,90.97,93.94,14.750749298288852,0.4593878935409498,98.664,99.906,1.2470848659420257,0.03759635128128483,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,nst_linear,"KD_CE,T-8.0",35,219,2
35,91.48,93.94,13.88025720210015,0.4328401505569868,98.662,99.91,1.2952721718403384,0.03953255001989091,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,nst_linear,"KD_CE,T-8.0",46,239,3
36,91.35,93.94,12.963368545604657,0.40476125233535526,98.392,99.91,1.4357711533965813,0.04451733528424407,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,PKT,"KD_CE,T-8.0",10,26,0
37,92.12,93.94,12.713594472860988,0.3969744039298613,98.584,99.908,1.255684800693751,0.038903108388280774,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,PKT,"KD_CE,T-8.0",23,56,1
38,92.02,93.94,11.84854571426971,0.3699295097325422,98.694,99.908,1.2253290065719038,0.037958717547700076,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,PKT,"KD_CE,T-8.0",35,219,2
39,91.97,93.94,13.076403995103474,0.40831126847976373,98.72,99.894,1.1945486309964333,0.036981710024378105,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",KD_CE,feat_KD-CE,PKT,"KD_CE,T-8.0",46,239,3
