,Unnamed: 0,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer
26,26,87.1,90.68,0.004565505469217896,0.592127133756876,86.83200000000001,88.49,0.0032038962786488444,0.5615218410177913,49,0.01,True,50,50,128,100,MobileNet,ResNet101,PKT,KD,26,219,2
27,27,85.31,90.68,206529.919375,0.7631974801421165,83.406,88.27600000000001,107472.43674072891,0.7532878052395628,49,0.01,True,50,50,128,100,MobileNet,ResNet101,hint,KD,55,239,3
28,28,87.39,90.68,33948268.92,0.5946696442365647,86.59,88.41,25329287.69820972,0.590926388149981,49,0.01,False,50,50,128,100,MobileNet,ResNet101,hint,KD,15,56,1
29,29,86.05,90.68,7886402.73,0.6838325764238834,85.318,88.346,8837184.145780051,0.6508351048392713,49,0.01,False,50,50,128,100,MobileNet,ResNet101,hint,KD,6,26,0
30,30,66.37,90.68,73272758149.12,2.79642403960228,65.782,88.426,57293920460.276215,1.6600198294500559,49,0.01,True,50,50,128,100,MobileNet,ResNet101,hint,KD,26,219,2
31,31,87.93,90.68,0.005581799745559692,0.5696722190082073,86.95200000000001,88.19200000000001,0.003939779078149621,0.5585181617447178,49,0.01,False,50,50,128,100,MobileNet,ResNet101,nst_linear,KD,55,239,3
32,32,70.11,90.68,0.015768829034641385,1.6828909534215928,68.134,98.316,0.017011794790415966,1.6712279261835397,50,0.01,False,50,50,128,100,MobileNet,ResNet101,nst_linear,KD,15,56,1
33,33,78.57,90.68,0.011163216121494771,1.2373999497294426,78.58,98.206,0.011021504664550656,1.1267170041723324,50,0.01,False,50,50,128,100,MobileNet,ResNet101,nst_linear,KD,6,26,0
34,34,60.18,90.68,0.02064920429140329,2.4135623252391816,54.913999999999994,98.30799999999999,0.02473668627860144,2.297450555255041,50,0.01,False,50,50,128,100,MobileNet,ResNet101,nst_linear,KD,26,219,2
35,35,87.52,90.68,0.03180659739300608,0.5965948121249676,86.706,88.37,0.01617055733347564,0.563161587433132,49,0.01,False,50,50,128,100,MobileNet,ResNet101,nst_poly,KD,15,56,1
36,36,86.94,90.68,0.3286075323820114,0.6255891759693623,86.49,88.28,0.17804484221788927,0.5751085931154163,49,0.01,False,50,50,128,100,MobileNet,ResNet101,nst_poly,KD,6,26,0
37,37,85.75,90.68,0.01528425380587578,0.7134612846374512,86.484,88.514,0.007857658451332537,0.5897649468287177,49,0.01,False,50,50,128,100,MobileNet,ResNet101,nst_poly,KD,26,219,2
38,38,87.54,90.68,0.005141152788419277,0.592665381282568,86.71600000000001,88.382,0.0036677703734182407,0.5648207098169399,49,0.01,False,50,50,128,100,MobileNet,ResNet101,att_max,KD,55,239,3
39,39,87.76,90.68,0.004585158263798803,0.6172574916481972,86.814,88.42,0.0033123802561598747,0.5579814294262615,49,0.01,False,50,50,128,100,MobileNet,ResNet101,att_max,KD,15,56,1
40,40,63.65,90.68,0.018264668295159936,2.047823274135589,59.071999999999996,88.294,0.016554638960153398,2.0339352929073837,49,0.01,False,50,50,128,100,MobileNet,ResNet101,att_max,KD,6,26,0
41,41,66.17,90.68,0.016924763610586525,1.7805776703357696,64.998,88.416,0.01406239180604134,1.7657121261367408,49,0.01,False,50,50,128,100,MobileNet,ResNet101,att_max,KD,26,219,2
42,42,87.5,90.68,0.005782093112356961,0.6041234111785889,86.92200000000001,88.366,0.004096673920040812,0.5562922135186013,49,0.01,False,50,50,128,100,MobileNet,ResNet101,att_mean,KD,55,239,3
43,43,71.51,90.68,0.013774604657664896,1.3261976027488709,69.308,88.37799999999999,0.011250841793368388,1.5114577909564728,49,0.01,False,50,50,128,100,MobileNet,ResNet101,att_mean,KD,15,56,1
44,44,87.59,90.68,0.004355660977307707,0.6031602090597152,87.022,88.60799999999999,0.0031965021055925377,0.5586247252838691,49,0.01,False,50,50,128,100,MobileNet,ResNet101,att_mean,KD,6,26,0
45,45,87.18,90.68,0.0068461055168882005,0.5830053246021271,86.54,88.384,0.004920253952931794,0.5840280957310401,49,0.01,False,50,50,128,100,MobileNet,ResNet101,att_mean,KD,26,219,2
