,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,epochs,train_batch_size,test_batch_size,student,teacher,distillation,resume
0,89.33,90.68,2462.161828613281,0.49243230774998664,97.648,88.354,332.81439674357927,0.06656283669202301,40,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-100",True
1,90.02,90.68,0.1873632235080004,0.33715094134211543,98.002,88.4,0.05863495317795087,0.0664669485700786,73,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-1",True
2,89.34,90.68,243786.745078125,0.4875734893977642,97.604,88.304,33371.80458884471,0.0667436091929598,55,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-1000",True
3,90.05,90.68,21.89928165435791,0.43763354647904634,97.632,88.454,3.3510104881223204,0.06670931492434323,56,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-10",True
4,89.06,90.68,5.887921307086945,0.4691709533333778,97.784,88.5,0.7939535620648538,0.061619786221695984,46,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-5",True
5,90.45,90.68,540.9546340942383,0.432762815579772,97.506,88.3,89.07484729454646,0.07125920113747763,55,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-50",True
6,88.03,90.68,3.76145020891272e-05,0.567596262395382,88.4,88.36,2.0232057775041182e-05,0.47290252000474564,53,0.01,50,128,100,ResNet18,ResNet101,"KD,T-100",True
7,89.04,90.68,0.023150356644764544,0.3336284883320332,89.064,88.256,0.019598495436694157,0.34277447345464124,53,0.01,50,128,100,ResNet18,ResNet101,"KD,T-1",True
8,89.26,90.68,3.272861975744945e-07,0.5052075172960758,88.232,88.24,1.899892595029296e-07,0.47400554833585956,53,0.01,50,128,100,ResNet18,ResNet101,"KD,T-1000",True
9,89.3,90.68,0.0023204270435962827,0.47632276475429536,88.63,88.174,0.0015365376203890194,0.4539365368654661,44,0.01,50,128,100,ResNet18,ResNet101,"KD,T-10",True
10,89.91,90.68,0.005667509455233813,0.4282796385884285,88.906,88.316,0.004343187518041495,0.4257585090749404,50,0.01,50,128,100,ResNet18,ResNet101,"KD,T-5",True
11,88.71,90.68,0.0001543765393580543,0.49936641022562983,88.26,88.31,7.970560878893965e-05,0.4739001915430474,57,0.01,50,128,100,ResNet18,ResNet101,"KD,T-50",True
12,87.89,90.68,2027.813221435547,0.4055625943094492,93.76,88.294,861.4214183290292,0.17228424716788485,49,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-100",True
13,87.73,90.68,0.20541552014648914,0.37487212717533114,93.458,88.304,0.11659818559008486,0.18792093072629645,54,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-1",True
14,88.34,90.68,191479.628671875,0.3829592572152615,93.386,88.33,93310.94113151374,0.1866218821357583,58,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-1000",True
15,86.02,90.68,24.10862229347229,0.48198992043733596,93.464,88.386,9.262964352317479,0.18510355910910364,47,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-10",True
16,88.1,90.68,4.951718113422394,0.39501184090971947,93.436,88.178,2.3256721528594757,0.18499548670352267,56,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-5",True
17,85.32,90.68,4193.656040039063,3.3549226996302606,93.474,88.372,231.27067667383062,0.1850159864520173,44,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-50",True
18,87.18,90.68,4.54956964313169e-05,0.6079903493821621,86.274,88.332,3.0141017246989015e-05,0.6025647869729021,57,0.01,50,128,100,MobileNet,ResNet101,"KD,T-100",True
19,85.9,90.68,0.033555489694699646,0.4365870608389378,87.532,88.38,0.024195752149481144,0.38671682020434944,56,0.01,50,128,100,MobileNet,ResNet101,"KD,T-1",True
20,86.96,90.68,4.635336529190681e-07,0.6639675611257553,86.414,88.29,2.8393487050926544e-07,0.5871198800823573,57,0.01,50,128,100,MobileNet,ResNet101,"KD,T-1000",True
21,86.99,90.68,0.0034202696592547,0.6462058527767658,86.868,88.374,0.002227285770577905,0.5669689512694888,55,0.01,50,128,100,MobileNet,ResNet101,"KD,T-10",True
22,87.53,90.68,0.008302391353063286,0.5889128589630127,87.208,88.43,0.006314494293969115,0.5261817611849217,55,0.01,50,128,100,MobileNet,ResNet101,"KD,T-5",True
23,86.72,90.68,0.00019209396028600168,0.6769983959197998,86.24,88.3,0.00011769807395448461,0.5963436250796403,52,0.01,50,128,100,MobileNet,ResNet101,"KD,T-50",True
