,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer
0,89.85,90.68,0.0029788710371461474,0.4274912821718409,88.786,88.268,0.0021827043027586074,0.442551034929045,49,0.01,False,50,50,64,64,ResNet18,ResNet101,PKT,"KD,T-8",46,239,3
1,89.63,90.68,0.002996586934896186,0.44507498368620874,88.764,88.408,0.0022036546869251086,0.44407161837800996,49,0.01,False,50,50,64,64,ResNet18,ResNet101,PKT,"KD,T-8",23,56,1
2,89.71,90.68,0.003084432049654424,0.4661136332154274,89.004,88.404,0.002166992183798529,0.4320308481107282,49,0.01,False,50,50,64,64,ResNet18,ResNet101,PKT,"KD,T-8",10,26,0
3,89.63,90.68,0.0030029713311763126,0.4548782713805573,88.802,88.526,0.0021858453861368665,0.438522573284176,49,0.01,False,50,50,64,64,ResNet18,ResNet101,PKT,"KD,T-8",35,219,2
4,86.39,90.68,178406.99084394905,0.5905767372649187,85.314,88.348,81703.77063019501,0.57984848796864,49,0.01,False,50,50,64,64,ResNet18,ResNet101,hint,"KD,T-8",46,239,3
5,89.92,90.68,8380685.49,0.457240426838398,88.462,88.352,6745937.702046036,0.46012841620484884,49,0.01,False,50,50,64,64,ResNet18,ResNet101,hint,"KD,T-8",23,56,1
6,89.76,90.68,749333.848125,0.4423286114633083,88.596,88.116,814295.6986892583,0.4524954789511078,49,0.01,False,50,50,64,64,ResNet18,ResNet101,hint,"KD,T-8",10,26,0
7,83.67,90.68,14700856381.44,0.7908865484595299,83.262,88.428,8114566396.726343,0.7377441062036988,49,0.01,False,50,50,64,64,ResNet18,ResNet101,hint,"KD,T-8",35,219,2
8,89.45,90.68,0.004199430758599192,0.4512523603439331,88.648,88.328,0.0026903689834182065,0.45822246517519205,50,0.01,False,50,50,64,64,ResNet18,ResNet101,nst_linear,"KD,T-8",46,239,3
9,88.99,90.68,0.004200863996520639,0.5049047715216876,88.43,88.346,0.0026598585932694203,0.4563124313416993,49,0.01,False,50,50,64,64,ResNet18,ResNet101,nst_linear,"KD,T-8",23,56,1
10,89.51,90.68,0.003640428357757628,0.4369546610862017,88.794,88.412,0.0023779876531956866,0.44028984059763077,49,0.01,False,50,50,64,64,ResNet18,ResNet101,nst_linear,"KD,T-8",10,26,0
11,90.0,90.68,0.0037363665237362628,0.433248280913015,88.818,88.31,0.0025398489826208796,0.4430340219031819,49,0.01,False,50,50,64,64,ResNet18,ResNet101,nst_linear,"KD,T-8",35,219,2
12,89.52,90.68,0.0061669026999764,0.44350691533582226,88.458,88.512,0.004480450996495498,0.4605798937399369,50,0.01,False,50,50,64,64,ResNet18,ResNet101,nst_poly,"KD,T-8",46,239,3
13,89.59,90.68,0.013004114758223296,0.4657010857015848,88.504,88.436,0.0064471251833850465,0.45830262008377964,49,0.01,False,50,50,64,64,ResNet18,ResNet101,nst_poly,"KD,T-8",23,56,1
14,89.53,90.68,0.08416844122111797,0.44209655120968816,88.614,88.356,0.03237856238546884,0.4551764843256577,49,0.01,False,50,50,64,64,ResNet18,ResNet101,nst_poly,"KD,T-8",10,26,0
