,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,batch_size,student,teacher,distillation,transform,dataset,exp_name,pre,last_layer,student_layer,teacher_layer,layer,shape
0,59.15337870852746,76.66251453818467,1.311081277677806e-05,2.7585525366245798,51.59421636334231,68.88215599439805,1.3919615060586309e-05,3.0278035747847007,100,0.001,False,100,100,MobileNetV2,ResNet152,"KD,T-8.0","none,","ImageNet,",ultimors,,,,,,
1,59.148561321890895,76.66251453818467,1.307754860479933e-05,2.740949808085719,51.50973975699642,68.92688902423498,1.4006349344812988e-05,3.028664510713148,100,0.001,False,100,100,MobileNetV2,ResNet152,PKT,"none,","ImageNet,",ultimors,100,"KD,T-8",30,39,1,224
2,60.615111453680825,76.66251453818467,1.2541149622507745e-05,2.731737158454678,54.51889626410381,68.88353239531611,1.1613880780385179e-05,2.9259618770106206,100,0.001,False,100,100,ResNet18,ResNet152,"KD,T-8.0","none,","ImageNet,",ultimors,,,,,,
3,60.27995898339378,76.66251453818467,1.2805470503753219e-05,2.7516494887936065,54.22073341522919,68.85290747488929,1.1809122817062958e-05,2.9368182131166654,100,0.001,False,100,100,ResNet18,ResNet152,PKT,"none,","ImageNet,",ultimors,100,"KD,T-8",30,39,1,224
4,35.00794868795034,76.66251453818467,3.227028803835191e-05,3.663249754266201,28.920247889805342,68.90796351161167,2.9859936002279593e-05,4.075709611972105,100,0.001,False,100,100,squeezenet1,ResNet152,"KD,T-8.0","none,","ImageNet,",ultimors,,,,,,
5,35.57502391488366,76.66251453818467,3.212504975354485e-05,3.6431082533019117,28.768327638474535,68.93514742974334,3.0136777083287225e-05,4.089923352808012,100,0.001,False,100,100,squeezenet1,ResNet152,PKT,"none,","ImageNet,",ultimors,100,"KD,T-8",23,39,1,224
