,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,epochs,train_batch_size,test_batch_size,student,teacher,distillation,resume
0,10.0,90.68,11514.3055078125,2.302861099243164,9.84,10.0,11517.090525595428,2.303418103386374,11,0.01,20,128,100,ResNet18,ResNet101,"KD_CE,T-100",True
1,10.0,90.68,1.27394735455513,2.3264730310440065,10.0,10.002,1.2462588600490405,2.328404635114743,0,0.01,20,128,100,ResNet18,ResNet101,"KD_CE,T-1",True
2,10.0,90.68,1151587.905,2.303175811767578,9.934,10.01,1152304.608375959,2.304609221265749,13,0.01,20,128,100,ResNet18,ResNet101,"KD_CE,T-1000",True
3,10.0,90.68,115.15638702392579,2.302697377204895,9.946,10.004,115.18153145246188,2.303355570034603,3,0.01,20,128,100,ResNet18,ResNet101,"KD_CE,T-10",True
4,13.19,90.68,28.834596233367918,2.3027212524414065,9.984,9.996,28.82868106773747,2.303232613731833,22,0.01,20,128,100,ResNet18,ResNet101,"KD_CE,T-5",True
5,10.2,90.68,2878.1188232421873,2.3024939012527468,10.05,10.006,2879.2192801160886,2.303374842304708,26,0.01,20,128,100,ResNet18,ResNet101,"KD_CE,T-50",True
6,11.21,90.68,0.0007929278397932649,9.147854962348937,10.0,9.996,1.062465626838831e-06,13.403876848537903,25,0.01,20,128,100,ResNet18,ResNet101,"KD,T-100",True
7,10.0,90.68,1.0904560714960099,10.969831323623657,10.002,10.006,0.0003871882110750755,10.001546220706247,25,0.01,20,128,100,ResNet18,ResNet101,"KD,T-1",True
8,10.44,90.68,9.713058802844899e-06,11.727564563751221,9.994,9.99,5.3054472490990014e-09,13.412848282348165,24,0.01,20,128,100,ResNet18,ResNet101,"KD,T-1000",True
9,10.26,90.68,0.07357404425740242,13.526892490386963,9.996,9.998,0.00010658816174555467,13.406373126427535,25,0.01,20,128,100,ResNet18,ResNet101,"KD,T-10",True
10,10.57,90.68,0.17357480868697167,10.756717443466187,10.006,10.012,0.0003170417713658179,13.381762482626055,21,0.01,20,128,100,ResNet18,ResNet101,"KD,T-5",True
11,10.15,90.68,0.003163594037760049,9.272867827415466,9.998,9.998,4.119511801289966e-06,13.40420146122613,29,0.01,20,128,100,ResNet18,ResNet101,"KD,T-50",True
12,9.97,90.68,11542.081689453125,2.3084163284301757,9.968,9.996,11532.761901074968,2.3065523765885922,6,0.01,10,128,100,EfficientNetB0,ResNet101,"KD_CE,T-100",True
13,9.24,90.68,1.3432689118385315,2.452256078720093,9.998,9.996,1.247803725549937,2.3315831133166847,0,0.01,10,128,100,EfficientNetB0,ResNet101,"KD_CE,T-1",True
14,13.49,90.68,1172298.3075,2.3445966124534605,9.8,10.0,1153106.918478261,2.3062138459871493,14,0.01,10,128,100,EfficientNetB0,ResNet101,"KD_CE,T-1000",True
15,9.84,90.68,115.20197189331054,2.3036094236373903,9.69,9.994,115.31882629004281,2.3061009264358168,6,0.01,10,128,100,EfficientNetB0,ResNet101,"KD_CE,T-10",True
16,10.05,90.68,31.531821155548094,2.518424224853516,9.946,10.0,28.861712106963253,2.3058668164645924,10,0.01,10,128,100,EfficientNetB0,ResNet101,"KD_CE,T-5",True
17,12.29,90.68,3534.530576171875,2.8276233100891113,9.85,10.002,2883.0664805536685,2.3064525932302256,5,0.01,10,128,100,EfficientNetB0,ResNet101,"KD_CE,T-50",True
18,10.04,90.68,0.0010375396761810407,13.700384454727173,10.0,10.0,7.72405485495116e-06,13.443651721300677,7,0.01,20,128,100,EfficientNetB0,ResNet101,"KD,T-100",True
19,10.0,90.68,0.8875404638051987,8.960241708755493,10.0,9.996,0.002319787190976979,8.521570237396318,0,0.01,20,128,100,EfficientNetB0,ResNet101,"KD,T-1",True
20,10.01,90.68,1.2054135468133608e-05,15.508351259231567,9.994,9.994,3.211338541946233e-08,13.434697331674874,0,0.01,20,128,100,EfficientNetB0,ResNet101,"KD,T-1000",True
21,10.0,90.68,0.06776450119912625,13.36610076904297,10.0,10.006,0.0013090780405613505,13.298598609007229,0,0.01,20,128,100,EfficientNetB0,ResNet101,"KD,T-10",True
22,10.0,90.68,0.19093582510948182,12.89759630203247,10.0,9.998,0.0033678533771382573,12.961587559536595,0,0.01,20,128,100,EfficientNetB0,ResNet101,"KD,T-5",True
23,10.0,90.68,0.003785814195871353,13.6017839717865,10.0,10.002,6.730522148866716e-05,13.430682901836112,0,0.01,20,128,100,EfficientNetB0,ResNet101,"KD,T-50",True
24,10.0,90.68,11514.834697265625,2.302966935634613,9.948,10.006,11517.117577125959,2.3034235126222184,1,0.01,20,128,100,MobileNet,ResNet101,"KD_CE,T-100",True
25,10.0,90.68,1.2750203025341034,2.3284355354309083,10.0,10.006,1.2463225199438421,2.328336691307595,0,0.01,20,128,100,MobileNet,ResNet101,"KD_CE,T-1",True
26,10.0,90.68,1152429.035,2.304858067035675,10.1,10.002,1151621.324808184,2.303242645605141,17,0.01,20,128,100,MobileNet,ResNet101,"KD_CE,T-1000",True
27,10.0,90.68,115.20039207458495,2.303577654361725,9.946,9.998,115.18277720965997,2.303379555797333,5,0.01,20,128,100,MobileNet,ResNet101,"KD_CE,T-10",True
28,10.0,90.68,28.839216804504396,2.3030929923057557,9.746,9.998,28.829852077357298,2.3033134534840696,1,0.01,20,128,100,MobileNet,ResNet101,"KD_CE,T-5",True
29,10.0,90.68,2879.0446240234373,2.303234543800354,9.922,9.996,2878.9241041100545,2.30313869388512,5,0.01,20,128,100,MobileNet,ResNet101,"KD_CE,T-50",True
30,10.09,90.68,0.0010351286065997556,13.368322381973266,10.0,9.992,7.69502697195417e-06,13.435121380154738,18,0.01,20,128,100,MobileNet,ResNet101,"KD,T-100",True
31,10.07,90.68,2.8641204500198363,28.80707494735718,10.0,9.994,0.0023050233045869206,8.807808308955044,19,0.01,20,128,100,MobileNet,ResNet101,"KD,T-1",True
32,10.0,90.68,1.705108492387808e-05,21.800962448120117,10.0,10.002,1.3783216861230541e-07,13.440423233734677,0,0.01,20,128,100,MobileNet,ResNet101,"KD,T-1000",True
33,10.09,90.68,0.09073781363666057,14.484479894638062,10.0,9.994,0.0006068741125316667,13.367490734285711,17,0.01,20,128,100,MobileNet,ResNet101,"KD,T-10",True
34,10.01,90.68,0.21898553386330605,14.372524681091308,10.0,9.994,0.0013340960880217458,13.25771968626915,17,0.01,20,128,100,MobileNet,ResNet101,"KD,T-5",True
35,10.12,90.68,0.29010668203001844,116.80712841033936,10.0,10.0,3.5889705390092686e-05,13.436949542111448,11,0.01,20,128,100,MobileNet,ResNet101,"KD,T-50",True
