,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,train_batch_size,test_batch_size,student,teacher,distillation,transform,dataset,exp_name
0,23.07,93.94,0.14752461695218388,5.779559527771382,3.023,3.007,0.0009029735669629443,15.865241425116654,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD,T-8","none,",GAN,KD_GAN
1,37.72,93.94,0.12445957166484639,6.134783557698697,3.037,3.07,0.00044762778062107817,15.967446107693645,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD,T-8","none,",GAN,KD_GAN
